,Vehicle_ID,Frame_ID,Total_Frames,Local_X,Local_Y,Global_X,Global_Y,v_Length,v_Vel,v_Acc,Lane_ID,Preceding,Following,Space_Headway,Time_Headway
11027,36,4,1005,27.126,75.567,6042848.877,2133146.021,24.8,11.08,0.0,3,0,0,0.0,0.0
11028,36,5,1005,27.126,76.568,6042848.754,2133147.014,24.8,11.08,0.0,3,0,0,0.0,0.0
11029,36,6,1005,27.126,77.567,6042848.631,2133148.006,24.8,11.08,0.0,3,0,0,0.0,0.0
11030,36,7,1005,27.127,78.067,6042848.57,2133148.502,24.8,11.08,0.0,3,0,0,0.0,0.0
11031,36,8,1005,27.625,81.067,6042848.696,2133151.541,24.8,11.08,0.0,3,0,0,0.0,0.0
11032,36,9,1005,27.586,81.373,6042848.623,2133151.813,24.8,11.08,-11.2,3,0,0,0.0,0.0
11033,36,10,1005,27.617,82.388,6042848.533,2133152.788,24.8,9.57,-3.54,3,0,0,0.0,0.0
11034,36,11,1005,27.579,83.219,6042848.391,2133153.629,24.8,9.92,11.2,3,0,0,0.0,0.0
0,1,12,884,16.884,48.213,6042842.116,2133117.662,14.3,12.5,0.0,2,0,0,0.0,0.0
11035,36,12,1005,27.492,84.274,6042848.175,2133154.661,24.8,11.16,10.67,3,0,0,0.0,0.0
1,1,13,884,16.938,49.463,6042842.012,2133118.909,14.3,12.5,0.0,2,0,0,0.0,0.0
11036,36,13,1005,27.433,85.465,6042847.962,2133155.905,24.8,11.99,6.76,3,0,0,0.0,0.0
2,1,14,884,16.991,50.712,6042841.908,2133120.155,14.3,12.5,0.0,2,0,0,0.0,0.0
11037,36,14,1005,27.423,86.736,6042847.797,2133157.155,24.8,12.45,1.49,3,0,0,0.0,0.0
3,1,15,884,17.045,51.963,6042841.805,2133121.402,14.3,12.5,0.0,2,0,0,0.0,0.0
11038,36,15,1005,27.434,88.003,6042847.654,2133158.401,24.8,12.53,-0.3,3,0,0,0.0,0.0
4,1,16,884,17.098,53.213,6042841.701,2133122.649,14.3,12.5,0.0,2,0,0,0.0,0.0
11039,36,16,1005,27.434,89.254,6042847.5,2133159.641,24.8,12.51,-0.16,3,0,0,0.0,0.0
5,1,17,884,17.151,54.463,6042841.597,2133123.895,14.3,12.49,-0.09,2,0,0,0.0,0.0
11040,36,17,1005,27.435,90.505,6042847.347,2133160.882,24.8,12.48,-0.29,3,0,0,0.0,0.0
6,1,18,884,17.204,55.712,6042841.493,2133125.142,14.3,12.48,-0.08,2,0,0,0.0,0.0
11041,36,18,1005,27.434,91.752,6042847.193,2133162.122,24.8,12.46,-0.31,3,0,0,0.0,0.0
7,1,19,884,17.257,56.956,6042841.389,2133126.389,14.3,12.52,0.55,2,0,0,0.0,0.0
11042,36,19,1005,27.435,92.982,6042847.04,2133163.363,24.8,12.56,1.86,3,0,0,0.0,0.0
8,1,20,884,17.33,58.199,6042841.306,2133127.628,14.3,12.67,2.21,2,0,0,0.0,0.0
11043,36,20,1005,27.435,94.218,6042846.89,2133164.573,24.8,13.01,6.49,3,0,0,0.0,0.0
9,1,21,884,17.289,59.463,6042841.107,2133128.871,14.3,13.0,4.43,2,0,0,0.0,0.0
11044,36,21,1005,27.438,95.521,6042846.737,2133165.833,24.8,13.89,11.2,3,0,0,0.0,0.0
10,1,22,884,17.197,60.776,6042840.852,2133130.155,14.3,13.49,5.64,2,0,0,0.0,0.0
11045,36,22,1005,27.444,96.977,6042846.564,2133167.278,24.8,15.12,11.2,3,0,0,0.0,0.0
11,1,23,884,17.027,62.157,6042840.51,2133131.507,14.3,13.98,4.77,2,0,0,0.0,0.0
11046,36,23,1005,27.438,98.546,6042846.365,2133168.835,24.8,16.36,11.2,3,0,0,0.0,0.0
12,1,24,884,16.863,63.592,6042840.166,2133132.922,14.3,14.36,2.84,2,0,0,0.0,0.0
11047,36,24,1005,27.436,100.268,6042846.147,2133170.577,24.8,17.24,6.52,3,0,0,0.0,0.0
13,1,25,884,16.752,65.054,6042839.872,2133134.362,14.3,14.58,1.17,2,0,0,0.0,0.0
11048,36,25,1005,27.436,102.057,6042845.925,2133172.369,24.8,17.69,1.86,3,0,0,0.0,0.0
14,1,26,884,16.731,66.526,6042839.67,2133135.799,14.3,14.64,0.08,2,0,0,0.0,0.0
11049,36,26,1005,27.436,103.854,6042845.707,2133174.131,24.8,17.78,-0.59,3,0,0,0.0,0.0
15,1,27,884,16.682,67.993,6042839.442,2133137.232,14.3,14.62,-0.4,2,0,0,0.0,0.0
11050,36,27,1005,27.436,105.63,6042845.489,2133175.892,24.8,17.72,-0.72,3,0,0,0.0,0.0
16,1,28,884,16.632,69.455,6042839.214,2133138.665,14.3,14.59,-0.54,2,0,0,0.0,0.0
11051,36,28,1005,27.436,107.395,6042845.271,2133177.654,24.8,17.68,-0.19,3,0,0,0.0,0.0
17,1,29,884,16.583,70.913,6042838.987,2133140.098,14.3,14.52,-0.69,2,0,0,0.0,0.0
11052,36,29,1005,27.437,109.159,6042845.053,2133179.415,24.8,17.68,0.23,3,0,0,0.0,0.0
18,1,30,884,16.528,72.367,6042838.753,2133141.539,14.3,14.38,-1.71,2,0,0,0.0,0.0
11053,36,30,1005,27.439,110.926,6042844.835,2133181.177,24.8,17.7,0.45,3,0,0,0.0,0.0
19,1,31,884,16.478,73.809,6042838.525,2133142.971,14.3,14.13,-3.49,2,0,0,0.0,0.0
11054,36,31,1005,27.441,112.699,6042844.617,2133182.939,24.8,17.74,0.22,3,0,0,0.0,0.0
20,1,32,884,16.453,75.21,6042838.328,2133144.363,14.3,13.75,-4.36,2,0,0,0.0,0.0
11055,36,32,1005,27.443,114.476,6042844.399,2133184.7,24.8,17.75,0.0,3,0,0,0.0,0.0
21,1,33,884,16.462,76.559,6042838.171,2133145.699,14.3,13.37,-3.51,2,0,0,0.0,0.0
11056,36,33,1005,27.445,116.251,6042844.181,2133186.462,24.8,17.75,0.0,3,0,0,0.0,0.0
22,1,34,884,16.495,77.867,6042838.044,2133146.993,14.3,13.11,-1.72,2,0,0,0.0,0.0
11057,36,34,1005,27.447,118.026,6042843.963,2133188.223,24.8,17.75,0.0,3,0,0,0.0,0.0
23,1,35,884,16.534,79.159,6042837.924,2133148.279,14.3,13.0,-0.3,2,0,0,0.0,0.0
11058,36,35,1005,27.449,119.8,6042843.745,2133189.985,24.8,17.75,0.0,3,0,0,0.0,0.0
24,1,36,884,16.567,80.454,6042837.797,2133149.573,14.3,12.98,0.16,2,0,0,0.0,0.0
11059,36,36,1005,27.451,121.575,6042843.527,2133191.746,24.8,17.75,0.0,3,0,0,0.0,0.0
25,1,37,884,16.601,81.754,6042837.671,2133150.867,14.3,13.0,0.07,2,0,0,0.0,0.0
11060,36,37,1005,27.452,123.347,6042843.308,2133193.508,24.8,17.78,0.52,3,0,0,0.0,0.0
26,1,38,884,16.634,83.054,6042837.544,2133152.162,14.3,13.0,0.0,2,0,0,0.0,0.0
11061,36,38,1005,27.454,125.132,6042843.09,2133195.269,24.8,17.8,0.0,3,0,0,0.0,0.0
27,1,39,884,16.667,84.354,6042837.417,2133153.456,14.3,13.0,0.0,2,0,0,0.0,0.0
11062,36,39,1005,27.456,126.933,6042842.872,2133197.031,24.8,17.57,-3.53,3,0,0,0.0,0.0
28,1,40,884,16.701,85.654,6042837.291,2133154.75,14.3,13.0,0.0,2,0,0,0.0,0.0
11063,36,40,1005,27.456,128.707,6042842.645,2133198.851,24.8,16.95,-8.83,3,0,0,0.0,0.0
29,1,41,884,16.734,86.954,6042837.164,2133156.044,14.3,13.0,0.0,2,0,0,0.0,0.0
11064,36,41,1005,27.451,130.372,6042842.434,2133200.5,24.8,16.05,-10.61,3,0,0,0.0,0.0
30,1,42,884,16.767,88.254,6042837.037,2133157.339,14.3,13.0,0.0,2,0,0,0.0,0.0
11065,36,42,1005,27.467,131.89,6042842.261,2133202.017,24.8,15.35,-4.83,3,0,0,0.0,0.0
31,1,43,884,16.801,89.554,6042836.911,2133158.633,14.3,13.0,0.0,2,0,0,0.0,0.0
11066,36,43,1005,27.486,133.337,6042842.109,2133203.387,24.8,15.35,4.85,3,0,0,0.0,0.0
32,1,44,884,16.834,90.854,6042836.784,2133159.927,14.3,13.0,0.0,2,0,0,0.0,0.0
11067,36,44,1005,27.521,134.855,6042841.954,2133204.908,24.8,16.05,10.59,3,0,0,0.0,0.0
33,1,45,884,16.869,92.154,6042836.658,2133161.221,14.3,13.0,0.0,2,0,0,0.0,0.0
11068,36,45,1005,27.542,136.52,6042841.769,2133206.559,24.8,16.95,8.78,3,0,0,0.0,0.0
34,1,46,884,16.902,93.454,6042836.531,2133162.516,14.3,13.0,0.0,2,0,0,0.0,0.0
11069,36,46,1005,27.568,138.293,6042841.568,2133208.382,24.8,17.57,3.53,3,0,0,0.0,0.0
35,1,47,884,16.935,94.754,6042836.404,2133163.81,14.3,13.0,0.0,2,0,0,0.0,0.0
11070,36,47,1005,27.596,140.094,6042841.375,2133210.146,24.8,17.79,0.05,3,0,0,0.0,0.0
36,1,48,884,16.969,96.054,6042836.278,2133165.104,14.3,13.0,0.0,2,0,0,0.0,0.0
11071,36,48,1005,27.623,141.878,6042841.182,2133211.911,24.8,17.79,-0.37,3,0,0,0.0,0.0
37,1,49,884,17.002,97.354,6042836.151,2133166.398,14.3,13.0,0.0,2,0,0,0.0,0.0
11072,36,49,1005,27.65,143.65,6042840.989,2133213.676,24.8,17.78,0.25,3,0,50,0.0,0.0
16325,50,49,1089,30.424,63.679,6042853.61,2133134.703,15.3,15.03,0.0,3,36,0,79.97,5.32
38,1,50,884,17.036,98.654,6042836.025,2133167.693,14.3,13.0,0.0,2,0,0,0.0,0.0
11073,36,50,1005,27.676,145.43,6042840.795,2133215.44,24.8,17.79,0.12,3,0,50,0.0,0.0
16326,50,50,1089,30.428,65.179,6042853.426,2133136.192,15.3,15.03,0.0,3,36,0,80.25,5.34
39,1,51,884,17.069,99.954,6042835.898,2133168.987,14.3,13.0,0.0,2,0,0,0.0,0.0
11074,36,51,1005,27.703,147.211,6042840.602,2133217.205,24.8,17.79,-0.11,3,0,50,0.0,0.0
16327,50,51,1089,30.432,66.678,6042853.242,2133137.68,15.3,15.03,0.0,3,36,0,80.53,5.36
40,1,52,884,17.102,101.254,6042835.771,2133170.281,14.3,13.0,0.0,2,0,0,0.0,0.0
11075,36,52,1005,27.73,148.99,6042840.409,2133218.97,24.8,17.78,-0.24,3,0,50,0.0,0.0
16328,50,52,1089,30.432,68.253,6042853.057,2133139.169,15.3,15.03,0.0,3,36,0,80.74,5.37
41,1,53,884,17.136,102.554,6042835.645,2133171.575,14.3,13.0,0.0,2,0,0,0.0,0.0
11076,36,53,1005,27.756,150.766,6042840.216,2133220.734,24.8,17.76,-0.15,3,0,50,0.0,0.0
16329,50,53,1089,30.433,69.754,6042852.873,2133140.658,15.3,15.03,0.0,3,36,0,81.01,5.39
42,1,54,884,17.169,103.854,6042835.518,2133172.87,14.3,13.0,0.0,2,0,0,0.0,0.0
11077,36,54,1005,27.781,152.54,6042840.022,2133222.499,24.8,17.75,0.0,3,0,50,0.0,0.0
16330,50,54,1089,30.433,71.258,6042852.689,2133142.146,15.3,15.03,-0.76,3,36,0,81.28,5.41
43,1,55,884,17.203,105.155,6042835.392,2133174.164,14.3,13.0,-0.06,2,0,0,0.0,0.0
11078,36,55,1005,27.807,154.315,6042839.829,2133224.263,24.8,17.75,0.0,3,0,50,0.0,0.0
16331,50,55,1089,30.433,72.753,6042852.505,2133143.635,15.3,14.98,-0.19,3,36,0,81.56,5.44
44,1,56,884,17.236,106.455,6042835.265,2133175.458,14.3,12.98,-0.19,2,0,0,0.0,0.0
11079,36,56,1005,27.833,156.09,6042839.636,2133226.028,24.8,17.75,0.0,3,0,50,0.0,0.0
16332,50,56,1089,30.433,74.246,6042852.32,2133145.123,15.3,15.0,0.44,3,36,0,81.84,5.46
45,1,57,884,17.269,107.749,6042835.138,2133176.752,14.3,12.99,0.26,2,0,11,0.0,0.0
3461,11,57,864,17.924,63.711,6042841.205,2133133.168,17.3,12.53,0.0,2,1,0,44.04,3.51
11080,36,57,1005,27.86,157.863,6042839.443,2133227.793,24.8,17.77,0.31,3,0,50,0.0,0.0
16333,50,57,1089,30.431,75.736,6042852.135,2133146.6,15.3,15.15,2.28,3,36,0,82.13,5.42
46,1,58,884,17.304,109.054,6042835.012,2133178.047,14.3,12.98,-0.33,2,0,11,0.0,0.0
3462,11,58,864,17.827,64.961,6042840.952,2133134.396,17.3,12.53,0.0,2,1,0,44.09,3.52
11081,36,58,1005,27.886,159.642,6042839.25,2133229.557,24.8,17.8,0.34,3,0,50,0.0,0.0
16334,50,58,1089,30.43,77.247,6042851.95,2133148.088,15.3,15.5,4.68,3,36,0,82.39,5.32
47,1,59,884,17.338,110.379,6042834.885,2133179.341,14.3,12.67,-4.79,2,0,11,0.0,0.0
3463,11,59,864,17.73,66.211,6042840.699,2133135.624,17.3,12.53,0.0,2,1,0,44.17,3.52
11082,36,59,1005,27.911,161.436,6042839.056,2133231.322,24.8,17.71,-1.62,3,0,50,0.0,0.0
16335,50,59,1089,30.446,78.811,6042851.774,2133149.639,15.3,16.0,5.82,3,36,0,82.63,5.16
48,1,60,884,17.376,111.657,6042834.755,2133180.69,14.3,11.8,-11.2,2,0,11,0.0,0.0
3464,11,60,864,17.632,67.504,6042840.446,2133136.852,17.3,12.53,0.0,2,1,0,44.15,3.52
11083,36,60,1005,27.963,163.224,6042838.884,2133233.125,24.8,17.32,-5.69,3,0,50,0.0,0.0
16336,50,60,1089,30.481,80.447,6042851.607,2133151.27,15.3,16.5,4.68,3,36,0,82.78,5.02
49,1,61,884,17.393,112.747,6042834.628,2133181.847,14.3,10.31,-11.2,2,0,11,0.0,0.0
3465,11,61,864,17.533,68.755,6042840.194,2133138.081,17.3,12.53,0.0,2,1,0,43.99,3.51
11084,36,61,1005,27.893,164.95,6042838.599,2133234.851,24.8,16.62,-8.94,3,0,50,0.0,0.0
16337,50,61,1089,30.531,82.136,6042851.448,2133152.964,15.3,16.85,2.28,3,36,0,82.81,4.91
50,1,62,884,17.402,113.674,6042834.521,2133182.775,14.3,8.33,-11.2,2,0,11,0.0,0.0
3466,11,62,864,17.433,70.006,6042839.941,2133139.309,17.3,12.53,-0.28,2,1,0,43.67,3.49
11085,36,62,1005,27.763,166.56,6042838.272,2133236.429,24.8,15.86,-7.48,3,0,50,0.0,0.0
16338,50,62,1089,30.584,83.846,6042851.29,2133154.669,15.3,17.0,0.43,3,36,0,82.71,4.87
3467,11,63,864,17.333,71.254,6042839.688,2133140.537,17.3,12.52,0.22,2,1,0,43.16,3.45
51,1,63,884,17.412,114.413,6042834.44,2133183.503,14.3,6.36,-11.2,2,0,11,0.0,0.0
11086,36,63,1005,27.514,168.073,6042837.841,2133237.879,24.8,15.42,-1.78,3,0,50,0.0,0.0
16339,50,63,1089,30.634,85.553,6042851.131,2133156.362,15.3,17.02,-0.2,3,36,0,82.52,4.85
3468,11,64,864,17.233,72.512,6042839.435,2133141.765,17.3,12.5,-0.43,2,1,0,42.48,3.4
52,1,64,884,17.412,114.988,6042834.378,2133184.002,14.3,4.84,-11.2,2,0,11,0.0,0.0
11087,36,64,1005,27.355,169.573,6042837.501,2133239.318,24.8,15.44,2.92,3,0,50,0.0,0.0
16340,50,64,1089,30.685,87.254,6042850.972,2133158.056,15.3,17.01,-0.08,3,36,0,82.32,4.84
3469,11,65,864,17.125,73.772,6042839.173,2133143.005,17.3,12.34,-2.39,2,1,0,41.6,3.37
53,1,65,884,17.394,115.375,6042834.321,2133184.309,14.3,3.96,-4.96,2,0,11,0.0,0.0
11088,36,65,1005,27.242,171.124,6042837.195,2133240.865,24.8,15.71,3.47,3,0,50,0.0,0.0
16341,50,65,1089,30.734,88.953,6042850.812,2133159.749,15.3,17.01,0.05,3,36,0,82.17,4.83
3470,11,66,864,17.026,75.011,6042838.921,2133144.234,17.3,11.98,-4.88,2,1,0,40.7,3.4
54,1,66,884,17.377,115.711,6042834.259,2133184.671,14.3,3.64,-0.28,2,0,11,0.0,0.0
11089,36,66,1005,27.242,172.725,6042836.995,2133242.478,24.8,15.95,1.38,3,0,50,0.0,0.0
16342,50,66,1089,30.785,90.655,6042850.653,2133161.442,15.3,17.0,-0.1,3,36,0,82.07,4.83
3471,11,67,864,16.984,76.193,6042838.734,2133145.405,17.3,11.46,-6.05,2,1,0,39.87,3.48
55,1,67,884,17.361,116.067,6042834.197,2133185.033,14.3,3.64,0.49,2,0,11,0.0,0.0
11090,36,67,1005,27.219,174.339,6042836.774,2133244.063,24.8,16.03,-0.18,3,0,50,0.0,0.0
16343,50,67,1089,30.843,92.357,6042850.502,2133163.14,15.3,16.96,-0.56,3,36,0,81.98,4.83
3472,11,68,864,16.968,77.302,6042838.582,2133146.501,17.3,10.93,-4.85,2,1,0,39.13,3.58
56,1,68,884,17.345,116.437,6042834.136,2133185.395,14.3,3.67,0.0,2,0,11,0.0,0.0
11091,36,68,1005,27.195,175.943,6042836.553,2133245.648,24.8,16.01,-0.24,3,0,50,0.0,0.0
16344,50,68,1089,30.895,94.055,6042850.344,2133164.833,15.3,16.88,-1.19,3,36,0,81.89,4.85
3473,11,69,864,17.009,78.355,6042838.494,2133147.539,17.3,10.57,-2.38,2,1,0,38.45,3.64
57,1,69,884,17.328,116.804,6042834.074,2133185.757,14.3,3.67,0.0,2,0,11,0.0,0.0
11092,36,69,1005,27.17,177.541,6042836.331,2133247.233,24.8,16.0,0.0,3,0,50,0.0,0.0
16345,50,69,1089,30.892,95.739,6042850.134,2133166.506,15.3,16.75,-1.48,3,36,0,81.8,4.88
3474,11,70,864,17.059,79.387,6042838.417,2133148.567,17.3,10.42,-0.46,2,1,0,37.78,3.63
58,1,70,884,17.312,117.17,6042834.013,2133186.118,14.3,3.67,0.0,2,0,11,0.0,0.0
11093,36,70,1005,27.147,179.141,6042836.11,2133248.818,24.8,16.0,0.0,3,0,50,0.0,0.0
16346,50,70,1089,30.845,97.405,6042849.883,2133168.151,15.3,16.62,-1.17,3,36,0,81.74,4.92
3475,11,71,864,17.1,80.421,6042838.33,2133149.606,17.3,10.39,0.2,2,1,0,37.12,3.57
59,1,71,884,17.296,117.537,6042833.951,2133186.48,14.3,3.67,0.0,2,0,11,0.0,0.0
11094,36,71,1005,27.123,180.74,6042835.889,2133250.402,24.8,16.0,0.08,3,0,50,0.0,0.0
16347,50,71,1089,30.744,99.057,6042849.58,2133169.776,15.3,16.54,-0.55,3,36,0,81.68,4.94
3476,11,72,864,17.142,81.462,6042838.244,2133150.645,17.3,10.41,0.1,2,1,0,36.44,3.5
60,1,72,884,17.28,117.903,6042833.89,2133186.842,14.3,3.67,0.0,2,0,11,0.0,0.0
11095,36,72,1005,27.098,182.341,6042835.667,2133251.987,24.8,16.01,0.13,3,0,50,0.0,0.0
16348,50,72,1089,30.636,100.704,6042849.27,2133171.398,15.3,16.5,-0.09,3,36,0,81.64,4.95
3477,11,73,864,17.184,82.504,6042838.157,2133151.683,17.3,10.42,0.0,2,1,0,35.77,3.43
61,1,73,884,17.263,118.27,6042833.828,2133187.204,14.3,3.67,0.0,2,0,11,0.0,0.0
11096,36,73,1005,27.074,183.945,6042835.446,2133253.572,24.8,16.0,-0.26,3,0,50,0.0,0.0
16349,50,73,1089,30.536,102.353,6042848.968,2133173.023,15.3,16.5,0.04,3,36,0,81.59,4.94
3478,11,74,864,17.226,83.541,6042838.071,2133152.722,17.3,10.45,0.64,2,1,0,35.1,3.36
62,1,74,884,17.247,118.637,6042833.766,2133187.566,14.3,3.67,0.0,2,0,11,0.0,0.0
11097,36,74,1005,27.048,185.551,6042835.222,2133255.164,24.8,15.91,-1.39,3,0,50,0.0,0.0
16350,50,74,1089,30.436,104.002,6042848.666,2133174.648,15.3,16.5,0.11,3,36,0,81.55,4.94
63,1,75,884,17.231,119.004,6042833.705,2133187.928,14.3,3.67,0.0,2,0,11,0.0,0.0
3479,11,75,864,17.267,84.6,6042837.984,2133153.761,17.3,10.43,-0.72,2,1,0,34.4,3.3
11098,36,75,1005,27.024,187.145,6042835.0,2133256.749,24.8,15.7,-2.82,3,0,50,0.0,0.0
16351,50,75,1089,30.336,105.655,6042848.364,2133176.273,15.3,16.5,-0.08,3,36,0,81.49,4.94
64,1,76,884,17.214,119.37,6042833.643,2133188.289,14.3,3.67,0.0,2,0,11,0.0,0.0
3480,11,76,864,17.309,85.678,6042837.897,2133154.8,17.3,9.98,-6.85,2,1,0,33.69,3.38
11099,36,76,1005,27.011,188.706,6042834.794,2133258.299,24.8,15.4,-3.51,3,0,50,0.0,0.0
16352,50,76,1089,30.236,107.31,6042848.062,2133177.899,15.3,16.44,-0.91,3,36,0,81.4,4.95
65,1,77,884,17.199,119.737,6042833.582,2133188.651,14.3,3.67,0.0,2,0,11,0.0,0.0
3481,11,77,864,17.371,86.648,6042837.822,2133155.914,17.3,8.87,-11.2,2,1,0,33.09,3.73
11100,36,77,1005,27.011,190.224,6042834.607,2133259.803,24.8,15.1,-2.8,3,0,50,0.0,0.0
16353,50,77,1089,30.129,108.959,6042847.751,2133179.534,15.3,16.27,-2.4,3,36,0,81.26,4.99
66,1,78,884,17.182,120.104,6042833.52,2133189.013,14.3,3.67,0.0,2,0,11,0.0,0.0
3482,11,78,864,17.37,87.43,6042837.72,2133156.729,17.3,7.06,-11.2,2,1,0,32.67,4.63
11101,36,78,1005,27.021,191.711,6042834.435,2133261.273,24.8,14.89,-1.35,3,0,50,0.0,0.0
16354,50,78,1089,30.029,110.587,6042847.448,2133181.159,15.3,15.95,-4.14,3,36,0,81.12,5.09
67,1,79,884,17.165,120.47,6042833.458,2133189.375,14.3,3.67,0.0,2,0,11,0.0,0.0
3483,11,79,864,17.295,88.022,6042837.572,2133157.314,17.3,4.82,-11.2,2,1,0,32.45,6.73
11102,36,79,1005,27.034,193.185,6042834.266,2133262.736,24.8,14.8,-0.24,3,0,50,0.0,0.0
16355,50,79,1089,29.987,112.167,6042847.209,2133182.733,15.3,15.5,-4.95,3,36,0,81.02,5.23
68,1,80,884,17.15,120.837,6042833.397,2133189.737,14.3,3.67,0.0,2,0,11,0.0,0.0
3484,11,80,864,17.205,88.409,6042837.437,2133157.672,17.3,2.74,-11.2,2,1,0,32.43,11.84
